candidate,class,current_status,tracked,production_reference,other_dependency,backup_requirement,rollback_source,recommendation
"backup_2026-06-13T00-34-22.json; backup_2026-06-22T21-23-42.json; codebase-ui.zip",B,"present and gitignored",no,none,"local historical backup/archive","confirm newer verified backup and D-drive copy before deletion","D-drive/current file","remove locally only after user confirms retention policy"
"CODEBASE_AUDIT_AND_REDUNDANCY_REPORT.md; PROJECT_REFACTORING_AND_CLEANUP_REPORT.md; dead-code-audit-report-2026-07-19.md",C,present,yes,none,"referenced by later second-brain audit as historical inputs","preserve content in consolidated audit/changelog before removal","git history","consolidate or move under docs/archive; not safe-delete while cited"
test-booking-concurrency.js,D,present,yes,none,"booking-system spec and quick-ref require an as-yet-unrun real Firestore concurrency test","keep","git history plus current file","compatibility/validation keep until emulator or real-project test is replaced and executed"
"backup.js; restore.js; scripts/backup-firestore.js; 備份到D槽.ps1; 備份到D槽.bat",D,present,mixed,none,"active backup chain: PowerShell invokes scripts/backup-firestore.js","keep and test separately","current files / D-drive backups","operational compatibility keep"
"scripts/build-journey-preview.py; scripts/build-tile-sheet.py; scripts/process-tile.py; scripts/generate-monster-handbook.py; scripts/image_pipeline/**",D,present,yes,none,"repeatable asset/catalog generation or preview tooling","keep unless generated outputs and regeneration contract are superseded","git history","document inputs/outputs; do not mix with one-off fix scripts"
"public/images/archery/real/這個是我原始分類的你參考有沒有需要/**",B,present,yes,"no literal source reference; dynamic/CMS URL unresolved","website source/reference archive; 70.98 MiB and many exact duplicates","full external backup plus per-file hash/canonical mapping","timestamp/external backup and git history where tracked","defer until Firestore CMS URL export and website route trace prove non-use"
"public/assets/dungeon/_map_preview.png; public/assets/dungeon/_ghost_preview.png",B,present,yes,"no production literal reference found","preview naming suggests generation review artifacts","copy and hash before deletion","git history/new backup","verify no CSS/template/CMS lookup, then remove"
"public/assets/guild/junk_old_map_scrap.webp",D,present,yes,"dynamic guild asset paths possible","name says old/junk but can be deliberate loot/art compatibility","keep until guild manifest/id expansion proves unreachable","git history","do not delete based on filename"
"public/assets/shop/**; src/components/member/ShopSimulatorV3.jsx; src/lib/shopArt*.js",E,"active modified WIP",mixed,active,"explicit PROTECTED list","keep; baseline backup already exists","backups/codebase-modernization/20260809-193824 plus git","no hygiene action"
"src/components/member/CatVillageBoard*.jsx; src/components/member/EventScene.jsx; src/lib/villageBoard*.js; src/lib/boardEvents.js; public/assets/board/**; scripts/gen-event-scenes.py",E,"active modified/untracked WIP",mixed,active,"explicit PROTECTED list and handoff dependency","keep; baseline backup already exists","backups/codebase-modernization/20260809-193824 plus git","no hygiene action"
"src/components/member/ShopSimulator.jsx",E,"untracked pre-existing file",no,"no current production import found","possible shop prototype/reference during active WIP","keep baseline copy","backups/codebase-modernization/20260809-193824/files/src/components/member/ShopSimulator.jsx","defer classification until shop WIP freezes"
"src/lib/shootingPerformance.js; shootingSessions/gamePerformances migration/fallback paths; src/lib/db.js",E,"active modified compatibility area",yes,active,"explicit PROTECTED list","keep; baseline backup already exists","baseline backup plus git","no hygiene action"
"src/pages/GuestApp.jsx: legacy GuestHome and its two exclusive image imports",A,"removed in Step 4",yes,"GuestHomeV2 is the only rendered guest home; no GuestHome call/JSX/dynamic reference found","none","complete dirty file copied and hashed before edit","backups/codebase-modernization/20260809-193824/files/src/pages/GuestApp.jsx plus git","keep removal; production build passed"
"src/pages/AdminApp.jsx: HubBack; HubCard; AdminMemberHub; AdminEventsHub; AdminItemsHub",A,"removed in Step 4",yes,"definitions only; HubCard was exclusively reachable from the three dead hubs","none","complete dirty file copied and hashed before edit","backups/codebase-modernization/20260809-193824/files/src/pages/AdminApp.jsx plus git","keep removal; production build passed"
